Overriding: dataset = zulu
Overriding: compile = False
Overriding: always_save_checkpoint = False
Overriding: max_iters = 45000
Overriding: n_layer = 3
tokens per iteration will be: 491,520
found vocab_size = 10000 (inside data/zulu/meta.pkl)
Initializing a new model from scratch
number of parameters: 28.92M
/home/anxtem001/LanguageModel/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 14, with 29,700,096 parameters
num non-decayed parameter tensors: 7, with 5,376 parameters
using fused AdamW: True
step 0: train loss 9.3597, val loss 9.3576
iter 152: loss 7.1217, time 1036.22ms, mfu 30.73%
iter 153: loss 7.1408, time 1036.06ms, mfu 30.72%
iter 154: loss 7.1286, time 1036.51ms, mfu 30.72%
iter 155: loss 7.1650, time 1038.24ms, mfu 30.71%
iter 156: loss 7.2699, time 1037.99ms, mfu 30.70%
iter 157: loss 7.1067, time 1037.77ms, mfu 30.70%
iter 158: loss 7.1122, time 1038.23ms, mfu 30.69%
iter 159: loss 7.2171, time 1038.38ms, mfu 30.68%
iter 160: loss 7.1094, time 1038.13ms, mfu 30.68%
iter 161: loss 7.1551, time 1038.56ms, mfu 30.67%
iter 162: loss 7.1574, time 1038.39ms, mfu 30.67%
iter 163: loss 7.0539, time 1039.53ms, mfu 30.66%
iter 164: loss 7.0580, time 1038.85ms, mfu 30.65%
iter 165: loss 7.0421, time 1038.78ms, mfu 30.65%
iter 166: loss 7.0784, time 1038.95ms, mfu 30.64%
iter 167: loss 7.0765, time 1038.94ms, mfu 30.64%
iter 168: loss 7.0820, time 1040.06ms, mfu 30.63%
iter 169: loss 7.0071, time 1039.45ms, mfu 30.63%
iter 170: loss 7.0607, time 1039.45ms, mfu 30.62%
iter 171: loss 7.0225, time 1039.17ms, mfu 30.62%
iter 172: loss 6.8928, time 1040.06ms, mfu 30.62%
iter 173: loss 6.9841, time 1038.83ms, mfu 30.62%
iter 174: loss 7.0036, time 1038.50ms, mfu 30.62%
iter 175: loss 7.0620, time 1038.33ms, mfu 30.62%
iter 176: loss 7.0186, time 1037.80ms, mfu 30.62%
iter 177: loss 6.9267, time 1037.67ms, mfu 30.62%
iter 178: loss 6.8676, time 1038.13ms, mfu 30.62%
iter 179: loss 6.9642, time 1038.64ms, mfu 30.62%
iter 180: loss 6.8856, time 1038.48ms, mfu 30.62%
iter 181: loss 6.8552, time 1038.61ms, mfu 30.62%
iter 182: loss 6.9891, time 1039.29ms, mfu 30.62%
iter 183: loss 6.9110, time 1040.04ms, mfu 30.61%
iter 184: loss 6.8942, time 1039.31ms, mfu 30.61%
iter 185: loss 6.8763, time 1039.62ms, mfu 30.61%
iter 186: loss 6.8362, time 1039.41ms, mfu 30.61%
iter 187: loss 6.6840, time 1039.69ms, mfu 30.60%
iter 188: loss 6.8715, time 1040.09ms, mfu 30.60%
iter 189: loss 6.8193, time 1039.89ms, mfu 30.60%
iter 190: loss 6.7546, time 1040.58ms, mfu 30.59%
iter 191: loss 6.7871, time 1039.58ms, mfu 30.59%
iter 192: loss 6.8110, time 1040.19ms, mfu 30.59%
iter 193: loss 6.6770, time 1039.88ms, mfu 30.59%
iter 194: loss 6.7015, time 1039.74ms, mfu 30.59%
iter 195: loss 6.8015, time 1039.79ms, mfu 30.59%
iter 196: loss 6.8548, time 1040.81ms, mfu 30.58%
iter 197: loss 6.6937, time 1040.22ms, mfu 30.58%
iter 198: loss 6.7885, time 1040.33ms, mfu 30.58%
iter 199: loss 6.7535, time 1040.66ms, mfu 30.58%
iter 200: loss 6.6331, time 1039.79ms, mfu 30.58%
iter 201: loss 6.6581, time 1040.55ms, mfu 30.57%
iter 202: loss 6.6940, time 1039.70ms, mfu 30.58%
iter 203: loss 6.7261, time 1040.63ms, mfu 30.57%
iter 204: loss 6.6624, time 1040.42ms, mfu 30.57%
iter 205: loss 6.7263, time 1040.13ms, mfu 30.57%
iter 206: loss 6.7421, time 1040.26ms, mfu 30.57%
iter 207: loss 6.6810, time 1040.40ms, mfu 30.57%
iter 208: loss 6.6597, time 1040.15ms, mfu 30.57%
iter 209: loss 6.6926, time 1040.26ms, mfu 30.57%
iter 210: loss 6.6258, time 1040.27ms, mfu 30.57%
iter 211: loss 6.6875, time 1041.62ms, mfu 30.56%
iter 212: loss 6.5804, time 1040.79ms, mfu 30.56%
iter 213: loss 6.6667, time 1040.60ms, mfu 30.56%
iter 214: loss 6.6438, time 1040.59ms, mfu 30.56%
iter 215: loss 6.5696, time 1041.34ms, mfu 30.56%
iter 216: loss 6.6885, time 1041.26ms, mfu 30.56%
iter 217: loss 6.4728, time 1041.98ms, mfu 30.55%
iter 218: loss 6.5968, time 1040.97ms, mfu 30.55%
iter 219: loss 6.6826, time 1041.14ms, mfu 30.55%
iter 220: loss 6.5456, time 1041.09ms, mfu 30.55%
iter 221: loss 6.6609, time 1041.44ms, mfu 30.55%
iter 222: loss 6.5846, time 1041.03ms, mfu 30.55%
iter 223: loss 6.5932, time 1040.33ms, mfu 30.55%
iter 224: loss 6.4946, time 1040.84ms, mfu 30.55%
iter 225: loss 6.5678, time 1040.62ms, mfu 30.55%
iter 226: loss 6.4307, time 1040.88ms, mfu 30.55%
iter 227: loss 6.5847, time 1041.20ms, mfu 30.55%
iter 228: loss 6.4398, time 1041.16ms, mfu 30.55%
iter 229: loss 6.5079, time 1041.50ms, mfu 30.54%
iter 230: loss 6.4958, time 1042.12ms, mfu 30.54%
iter 231: loss 6.5157, time 1043.30ms, mfu 30.53%
iter 232: loss 6.4311, time 1042.68ms, mfu 30.53%
iter 233: loss 6.5092, time 1042.68ms, mfu 30.53%
iter 234: loss 6.5186, time 1042.51ms, mfu 30.52%
iter 235: loss 6.4397, time 1043.08ms, mfu 30.52%
iter 236: loss 6.3823, time 1043.12ms, mfu 30.52%
iter 237: loss 6.4858, time 1042.88ms, mfu 30.51%
iter 238: loss 6.4554, time 1041.27ms, mfu 30.52%
iter 239: loss 6.4826, time 1041.24ms, mfu 30.52%
iter 240: loss 6.4452, time 1041.94ms, mfu 30.52%
iter 241: loss 6.4408, time 1041.47ms, mfu 30.52%
iter 242: loss 6.4064, time 1042.06ms, mfu 30.52%
iter 243: loss 6.3762, time 1041.77ms, mfu 30.52%
iter 244: loss 6.4532, time 1041.87ms, mfu 30.52%
iter 245: loss 6.3590, time 1042.26ms, mfu 30.52%
iter 246: loss 6.4173, time 1042.45ms, mfu 30.52%
iter 247: loss 6.1292, time 1041.87ms, mfu 30.52%
iter 248: loss 6.4122, time 1041.45ms, mfu 30.52%
iter 249: loss 6.2786, time 1041.98ms, mfu 30.52%
